country,iso3,lat,lon,movies,tv_shows,Drama,Comedy,Action,Thriller,Crime,Romance,Documentary,Animation,Horror,Sci_Fi
United States,USA,39.8,-98.6,1200,800,92,78,80,74,71,60,68,72,55,83
India,IND,22.6,79.0,900,600,88,82,76,58,42,90,35,48,40,44
United Kingdom,GBR,55.0,-3.4,500,450,84,73,65,77,80,58,66,34,49,56
South Korea,KOR,36.5,127.9,300,700,79,60,66,91,73,64,40,35,57,52
Japan,JPN,36.2,138.3,400,500,72,58,61,69,50,47,38,92,63,71
Spain,ESP,40.2,-3.7,250,300,76,55,59,74,68,70,41,30,52,37
France,FRA,46.2,2.2,260,280,81,69,48,58,62,74,63,36,35,40
Canada,CAN,56.1,-106.3,220,260,68,64,53,61,56,52,72,42,37,46
Mexico,MEX,23.6,-102.5,180,150,70,67,57,63,59,81,39,28,46,31
Brazil,BRA,-10.8,-51.9,200,170,74,71,62,54,47,76,44,25,51,29
