title,date_added,type,rating,duration_min
Title 1,2014-01-08,Movie,PG,96
Title 2,2014-03-12,Movie,PG-13,108
Title 3,2014-05-21,TV Show,TV-14,42
Title 4,2014-09-30,TV Show,TV-MA,52
Title 5,2014-11-10,Movie,PG,102
Title 6,2014-06-12,Movie,G,88
Title 7,2015-02-14,Movie,PG-13,115
Title 8,2015-04-27,TV Show,TV-14,45
Title 9,2015-07-19,TV Show,TV-MA,48
Title 10,2015-08-23,Movie,PG-13,122
Title 11,2015-09-10,Movie,G,82
Title 12,2016-01-18,TV Show,TV-14,46
Title 13,2016-04-22,TV Show,TV-MA,50
Title 14,2016-06-30,Movie,PG-13,110
Title 15,2016-09-10,Movie,R,134
Title 16,2016-12-01,Movie,PG,98
Title 17,2017-03-15,TV Show,TV-MA,55
Title 18,2017-05-22,TV Show,TV-14,44
Title 19,2017-08-09,Movie,PG-13,113
Title 20,2017-10-28,Movie,R,128
Title 21,2017-12-14,TV Show,TV-MA,57
Title 22,2018-02-18,Movie,PG-13,105
Title 23,2018-04-22,Movie,R,138
Title 24,2018-06-16,TV Show,TV-MA,60
Title 25,2018-09-11,TV Show,TV-MA,58
Title 26,2018-11-29,Movie,PG-13,120
Title 27,2019-01-20,Movie,R,142
Title 28,2019-03-18,TV Show,TV-MA,63
Title 29,2019-06-21,TV Show,TV-14,48
Title 30,2019-08-23,Movie,PG-13,108
Title 31,2019-11-05,Movie,PG,100
Title 32,2020-02-10,TV Show,TV-MA,62
Title 33,2020-05-14,TV Show,TV-MA,59
Title 34,2020-08-19,Movie,R,145
Title 35,2020-10-30,Movie,PG-13,112
Title 36,2021-01-22,TV Show,TV-MA,65
Title 37,2021-04-16,TV Show,TV-MA,61
Title 38,2021-07-29,Movie,PG-13,118
Title 39,2021-09-10,Movie,R,130
Title 40,2022-01-18,TV Show,TV-MA,68
Title 41,2022-04-20,TV Show,TV-MA,66
Title 42,2022-07-29,Movie,R,138
Title 43,2022-10-31,Movie,PG-13,116
Title 44,2023-01-15,TV Show,TV-MA,70
Title 45,2023-03-22,TV Show,TV-MA,63
Title 46,2023-06-30,Movie,R,150
Title 47,2023-09-17,Movie,PG-13,122
